gun,month,year,count_guns,latitude,longitude,n_killed,n_injured,count_total_guns,gun_percentage,date
10mm,1,2015,1,44.9559,-93.0228,0,0,1282,0.078003120124805,2015-01-01
12 gauge,1,2015,27,40.354981481481474,-90.38019629629626,4,3,1282,2.1060842433697347,2015-01-01
20 gauge,1,2015,3,40.924266666666675,-98.32253333333334,0,1,1282,0.23400936037441497,2015-01-01
22 LR,1,2015,96,38.769028723404254,-88.67798404255316,7,18,1282,7.488299531981279,2015-01-01
25 Auto,1,2015,19,37.24037894736842,-82.08082631578947,0,7,1282,1.4820592823712948,2015-01-01
30-06 Spr,1,2015,1,44.8742,-73.6626,0,0,1282,0.078003120124805,2015-01-01
30-30 Win,1,2015,2,42.1335,-73.01005,0,0,1282,0.15600624024961,2015-01-01
308 Win,1,2015,2,36.26085,-89.57915,0,0,1282,0.15600624024961,2015-01-01
32 Auto,1,2015,9,34.57461111111112,-98.33948888888891,0,0,1282,0.7020280811232449,2015-01-01
357 Mag,1,2015,26,39.977188461538454,-85.96778846153846,2,1,1282,2.0280811232449296,2015-01-01
38 Spl,1,2015,47,37.884863043478255,-87.86314347826087,5,12,1282,3.6661466458658345,2015-01-01
380 Auto,1,2015,91,36.496843956043946,-89.62712967032964,5,13,1282,7.098283931357254,2015-01-01
40 SW,1,2015,57,39.219512280701764,-94.31772807017548,7,16,1282,4.446177847113884,2015-01-01
410 gauge,1,2015,1,30.6195,-90.3748,0,0,1282,0.078003120124805,2015-01-01
44 Mag,1,2015,7,46.002742857142856,-105.85317142857141,1,3,1282,0.5460218408736349,2015-01-01
45 Auto,1,2015,41,37.93266585365854,-89.09838048780487,8,5,1282,3.1981279251170047,2015-01-01
9mm,1,2015,120,38.45851092436974,-89.16208823529412,14,18,1282,9.360374414976599,2015-01-01
Handgun,1,2015,439,39.08619609195402,-89.24046643678159,89,75,1282,34.24336973478939,2015-01-01
Other,1,2015,33,38.02545757575758,-86.34803939393939,3,4,1282,2.574102964118565,2015-01-01
Rifle,1,2015,157,39.36089102564103,-84.83670192307697,12,7,1282,12.246489859594384,2015-01-01
Shotgun,1,2015,103,40.31335242718445,-90.49010679611646,17,16,1282,8.034321372854913,2015-01-01
10mm,1,2016,1,42.3137,-71.0667,0,0,1648,0.06067961165048544,2016-01-01
12 gauge,1,2016,41,39.57165365853659,-90.96583414634145,4,1,1648,2.487864077669903,2016-01-01
16 gauge,1,2016,2,34.9277,-81.91225,0,1,1648,0.12135922330097088,2016-01-01
20 gauge,1,2016,4,39.979075,-92.82324999999999,0,0,1648,0.24271844660194175,2016-01-01
22 LR,1,2016,96,39.238125000000004,-90.05570217391309,10,14,1648,5.825242718446602,2016-01-01
25 Auto,1,2016,19,39.821555555555555,-80.82227777777778,2,2,1648,1.1529126213592233,2016-01-01
30-06 Spr,1,2016,3,35.95783333333333,-93.92093333333334,0,1,1648,0.1820388349514563,2016-01-01
30-30 Win,1,2016,5,45.526379999999996,-110.97262,0,0,1648,0.30339805825242716,2016-01-01
308 Win,1,2016,3,40.852666666666664,-73.57379999999999,0,0,1648,0.1820388349514563,2016-01-01
32 Auto,1,2016,16,39.54769375000001,-81.04661875,2,3,1648,0.970873786407767,2016-01-01
357 Mag,1,2016,24,40.20651739130435,-83.76531304347826,1,1,1648,1.4563106796116505,2016-01-01
38 Spl,1,2016,40,39.53553076923077,-86.17661538461539,9,5,1648,2.4271844660194173,2016-01-01
380 Auto,1,2016,57,39.157887037037035,-82.69232777777778,5,6,1648,3.45873786407767,2016-01-01
40 SW,1,2016,84,38.11934624999999,-87.10652375000001,9,18,1648,5.097087378640777,2016-01-01
410 gauge,1,2016,3,38.298566666666666,-90.06920000000001,0,0,1648,0.1820388349514563,2016-01-01
44 Mag,1,2016,8,40.5660875,-88.90256249999999,1,2,1648,0.4854368932038835,2016-01-01
45 Auto,1,2016,62,39.387296551724134,-91.12928965517243,10,11,1648,3.762135922330097,2016-01-01
9mm,1,2016,146,38.87305069444446,-86.17939027777778,15,41,1648,8.859223300970873,2016-01-01
Handgun,1,2016,724,37.91534948755492,-86.08315724743775,87,195,1648,43.932038834951456,2016-01-01
Other,1,2016,34,39.83100625,-93.10308124999997,5,2,1648,2.063106796116505,2016-01-01
Rifle,1,2016,164,39.43803333333335,-86.89829012345679,15,13,1648,9.951456310679612,2016-01-01
Shotgun,1,2016,112,38.46552142857144,-88.70197946428573,15,26,1648,6.796116504854369,2016-01-01
10mm,1,2017,4,48.20755,-120.19597499999999,0,1,1537,0.26024723487312945,2017-01-01
12 gauge,1,2017,41,37.693624390243905,-89.0966268292683,5,4,1537,2.6675341574495772,2017-01-01
20 gauge,1,2017,5,41.50738,-98.7721,1,0,1537,0.32530904359141183,2017-01-01
22 LR,1,2017,86,38.372117441860475,-87.07635232558145,10,14,1537,5.595315549772284,2017-01-01
25 Auto,1,2017,13,39.601546153846144,-80.44422307692308,1,0,1537,0.8458035133376708,2017-01-01
30-06 Spr,1,2017,8,37.7682375,-83.6152875,0,0,1537,0.5204944697462589,2017-01-01
30-30 Win,1,2017,4,36.693599999999996,-85.09767500000001,0,1,1537,0.26024723487312945,2017-01-01
300 Win,1,2017,1,37.2155,-93.2952,0,0,1537,0.06506180871828236,2017-01-01
308 Win,1,2017,3,33.09226666666667,-84.44816666666667,0,0,1537,0.1951854261548471,2017-01-01
32 Auto,1,2017,11,39.33706363636364,-86.62037272727272,0,0,1537,0.715679895901106,2017-01-01
357 Mag,1,2017,19,38.891789473684206,-88.8719,1,7,1537,1.236174365647365,2017-01-01
38 Spl,1,2017,38,39.1213157894737,-79.60931052631581,2,2,1537,2.47234873129473,2017-01-01
380 Auto,1,2017,44,39.15748181818183,-81.91616363636365,3,9,1537,2.862719583604424,2017-01-01
40 SW,1,2017,48,37.54194791666667,-83.06131875000001,4,5,1537,3.1229668184775536,2017-01-01
410 gauge,1,2017,2,41.3143,-98.64175,0,1,1537,0.13012361743656473,2017-01-01
44 Mag,1,2017,5,40.176300000000005,-96.49104000000001,1,3,1537,0.32530904359141183,2017-01-01
45 Auto,1,2017,57,38.338268421052625,-84.31048596491232,4,12,1537,3.708523096942095,2017-01-01
9mm,1,2017,175,38.61884457142856,-83.94047657142856,18,48,1537,11.385816525699415,2017-01-01
Handgun,1,2017,718,37.13897531380767,-88.32282719665272,93,198,1537,46.71437865972674,2017-01-01
Other,1,2017,18,37.944138888888894,-82.61785555555555,0,2,1537,1.1711125569290826,2017-01-01
Rifle,1,2017,114,37.977806140350886,-92.59719035087726,21,22,1537,7.41704619388419,2017-01-01
Shotgun,1,2017,123,37.34144710743803,-91.54753057851246,18,30,1537,8.002602472348732,2017-01-01
10mm,2,2017,1,45.4548,-98.491,0,0,1574,0.06353240152477764,2017-02-01
12 gauge,2,2017,33,39.57205757575759,-93.5247606060606,3,2,1574,2.096569250317662,2017-02-01
16 gauge,2,2017,2,35.8929,-86.65055,0,0,1574,0.12706480304955528,2017-02-01
20 gauge,2,2017,6,38.2771,-84.83408333333334,0,0,1574,0.3811944091486658,2017-02-01
22 LR,2,2017,89,38.744159090909086,-86.88296818181821,5,13,1574,5.65438373570521,2017-02-01
25 Auto,2,2017,9,40.03067777777778,-91.33276666666667,2,0,1574,0.5717916137229987,2017-02-01
28 gauge,2,2017,1,37.9578,-87.5204,0,0,1574,0.06353240152477764,2017-02-01
30-06 Spr,2,2017,4,36.091825,-82.255475,1,1,1574,0.25412960609911056,2017-02-01
30-30 Win,2,2017,3,38.434533333333334,-95.08549999999998,1,0,1574,0.1905972045743329,2017-02-01
308 Win,2,2017,5,42.28126,-93.63682000000001,0,0,1574,0.3176620076238882,2017-02-01
32 Auto,2,2017,12,38.198075,-85.44375833333334,1,2,1574,0.7623888182973316,2017-02-01
357 Mag,2,2017,17,38.461417647058816,-87.05731176470589,1,5,1574,1.0800508259212198,2017-02-01
38 Spl,2,2017,38,38.57504054054055,-80.85871081081082,2,13,1574,2.4142312579415504,2017-02-01
380 Auto,2,2017,65,39.27818307692308,-89.95105846153842,5,12,1574,4.129606099110546,2017-02-01
40 SW,2,2017,57,38.0706,-84.98210350877191,4,19,1574,3.6213468869123253,2017-02-01
410 gauge,2,2017,3,38.367066666666666,-87.17696666666666,0,1,1574,0.1905972045743329,2017-02-01
44 Mag,2,2017,5,41.438739999999996,-75.28810000000001,1,0,1574,0.3176620076238882,2017-02-01
45 Auto,2,2017,67,37.432884848484846,-87.61019545454542,3,15,1574,4.256670902160102,2017-02-01
9mm,2,2017,164,37.57367018633537,-86.19852298136644,18,24,1574,10.419313850063533,2017-02-01
Handgun,2,2017,698,37.664948206599824,-90.88576958393114,93,137,1574,44.34561626429479,2017-02-01
Other,2,2017,23,39.06333636363636,-92.37840454545456,1,1,1574,1.4612452350698857,2017-02-01
Rifle,2,2017,151,37.58345562913911,-95.95216622516556,28,9,1574,9.593392630241423,2017-02-01
Shotgun,2,2017,121,38.52291652892563,-92.81937355371902,22,28,1574,7.687420584498094,2017-02-01
10mm,3,2015,2,35.920100000000005,-88.95625000000001,0,0,1335,0.149812734082397,2015-03-01
12 gauge,3,2015,23,38.20070454545454,-87.96420454545455,6,4,1335,1.7228464419475655,2015-03-01
20 gauge,3,2015,2,35.615449999999996,-83.5124,0,0,1335,0.149812734082397,2015-03-01
22 LR,3,2015,84,38.76281190476191,-91.0751523809524,12,14,1335,6.292134831460674,2015-03-01
25 Auto,3,2015,17,38.82471764705882,-85.82349411764707,0,3,1335,1.2734082397003745,2015-03-01
30-06 Spr,3,2015,1,36.8408,-119.799,0,0,1335,0.0749063670411985,2015-03-01
30-30 Win,3,2015,1,64.3479,-149.189,0,0,1335,0.0749063670411985,2015-03-01
300 Win,3,2015,1,40.7982,-124.17,0,0,1335,0.0749063670411985,2015-03-01
308 Win,3,2015,1,57.7926,-152.402,0,0,1335,0.0749063670411985,2015-03-01
32 Auto,3,2015,21,40.296366666666664,-83.55304761904762,0,4,1335,1.5730337078651686,2015-03-01
357 Mag,3,2015,28,38.62322499999999,-87.80277857142858,5,5,1335,2.097378277153558,2015-03-01
38 Spl,3,2015,56,38.42496071428571,-87.66491428571429,3,4,1335,4.194756554307116,2015-03-01
380 Auto,3,2015,99,36.59020707070707,-90.09136565656569,3,8,1335,7.415730337078652,2015-03-01
40 SW,3,2015,95,38.96102947368422,-88.62002631578946,7,20,1335,7.116104868913857,2015-03-01
410 gauge,3,2015,3,35.01716666666666,-79.36816666666667,0,0,1335,0.2247191011235955,2015-03-01
44 Mag,3,2015,6,45.581175,-109.11984999999999,0,3,1335,0.449438202247191,2015-03-01
45 Auto,3,2015,61,38.438123728813565,-87.70195254237291,3,9,1335,4.569288389513108,2015-03-01
9mm,3,2015,172,37.334261764705886,-87.69972647058827,17,26,1335,12.883895131086142,2015-03-01
Handgun,3,2015,459,38.46563464912289,-87.97708486842112,62,116,1335,34.38202247191011,2015-03-01
Other,3,2015,40,37.7063325,-90.50008749999998,5,8,1335,2.9962546816479403,2015-03-01
Rifle,3,2015,86,38.65978372093026,-89.44521744186049,19,18,1335,6.441947565543071,2015-03-01
Shotgun,3,2015,77,38.47401948051949,-89.52356753246752,9,18,1335,5.7677902621722845,2015-03-01
10mm,3,2016,1,33.5084,-81.7209,0,0,1551,0.06447453255963895,2016-03-01
12 gauge,3,2016,30,37.39596896551724,-93.39956551724138,3,5,1551,1.9342359767891684,2016-03-01
20 gauge,3,2016,2,33.4359,-80.8639,0,0,1551,0.1289490651192779,2016-03-01
22 LR,3,2016,102,38.92116138613862,-86.82976732673268,9,21,1551,6.576402321083172,2016-03-01
25 Auto,3,2016,8,39.62768750000001,-78.4593375,2,0,1551,0.5157962604771116,2016-03-01
30-30 Win,3,2016,5,38.692499999999995,-91.43664000000001,1,0,1551,0.3223726627981947,2016-03-01
300 Win,3,2016,1,35.1817,-89.8083,0,0,1551,0.06447453255963895,2016-03-01
308 Win,3,2016,3,50.17623333333333,-115.94956666666667,0,0,1551,0.19342359767891681,2016-03-01
32 Auto,3,2016,11,41.643736363636364,-74.2116818181818,0,0,1551,0.7092198581560284,2016-03-01
357 Mag,3,2016,31,39.767122580645164,-80.1851677419355,1,3,1551,1.9987105093488071,2016-03-01
38 Spl,3,2016,46,38.84985777777778,-85.05993555555554,3,12,1551,2.9658284977433915,2016-03-01
380 Auto,3,2016,47,39.3116488372093,-84.8231441860465,7,15,1551,3.0303030303030303,2016-03-01
40 SW,3,2016,67,39.04219545454546,-88.75525757575758,17,24,1551,4.319793681495809,2016-03-01
410 gauge,3,2016,1,40.5856,-76.6224,1,0,1551,0.06447453255963895,2016-03-01
44 Mag,3,2016,6,39.400166666666664,-91.86498333333333,0,1,1551,0.38684719535783363,2016-03-01
45 Auto,3,2016,56,38.84006909090909,-86.60224727272727,10,9,1551,3.610573823339781,2016-03-01
9mm,3,2016,176,38.85063678160922,-84.87353678160919,23,42,1551,11.347517730496454,2016-03-01
Handgun,3,2016,718,37.75019389204545,-87.16252088068175,76,121,1551,46.29271437782076,2016-03-01
Other,3,2016,17,38.45446470588235,-86.35340000000002,2,0,1551,1.0960670535138621,2016-03-01
Rifle,3,2016,119,37.72569658119658,-89.97461623931625,19,10,1551,7.672469374597034,2016-03-01
Shotgun,3,2016,104,37.441345192307665,-89.11663076923074,17,21,1551,6.70535138620245,2016-03-01
10mm,3,2017,1,42.9136,-85.7116,0,0,1753,0.05704506560182544,2017-03-01
12 gauge,3,2017,26,38.184553846153854,-91.74037692307691,5,0,1753,1.4831717056474616,2017-03-01
16 gauge,3,2017,1,36.1089,-96.708,0,0,1753,0.05704506560182544,2017-03-01
20 gauge,3,2017,5,38.413340000000005,-89.85214,0,1,1753,0.2852253280091272,2017-03-01
22 LR,3,2017,98,38.896604081632645,-88.47288673469387,5,20,1753,5.590416428978894,2017-03-01
25 Auto,3,2017,15,40.170519999999996,-82.29237333333332,2,15,1753,0.8556759840273817,2017-03-01
28 gauge,3,2017,1,38.849,-97.5501,0,0,1753,0.05704506560182544,2017-03-01
30-30 Win,3,2017,4,34.8555,-99.717025,0,0,1753,0.22818026240730177,2017-03-01
308 Win,3,2017,3,37.528600000000004,-91.10329999999999,0,0,1753,0.17113519680547631,2017-03-01
32 Auto,3,2017,22,42.00032272727273,-83.89515454545456,2,3,1753,1.2549914432401597,2017-03-01
357 Mag,3,2017,24,37.78396666666667,-84.76310833333334,0,4,1753,1.3690815744438105,2017-03-01
38 Spl,3,2017,52,37.73945769230768,-83.33796923076923,6,3,1753,2.966343411294923,2017-03-01
380 Auto,3,2017,43,37.628453488372095,-83.89217441860465,5,4,1753,2.452937820878494,2017-03-01
40 SW,3,2017,86,38.435615476190485,-85.810055952381,10,30,1753,4.905875641756988,2017-03-01
410 gauge,3,2017,3,36.066066666666664,-86.63056666666667,0,1,1753,0.17113519680547631,2017-03-01
44 Mag,3,2017,4,40.6761,-90.0156,0,0,1753,0.22818026240730177,2017-03-01
45 Auto,3,2017,61,37.52053333333333,-86.55298666666671,5,9,1753,3.479749001711352,2017-03-01
9mm,3,2017,164,38.5934447852761,-86.45835950920242,13,34,1753,9.355390758699372,2017-03-01
Handgun,3,2017,821,37.033709634146255,-89.71029268292648,88,174,1753,46.833998859098685,2017-03-01
Other,3,2017,27,36.44767037037037,-88.74891851851854,1,4,1753,1.540216771249287,2017-03-01
Rifle,3,2017,164,35.60219202453987,-91.84479631901853,21,23,1753,9.355390758699372,2017-03-01
Shotgun,3,2017,128,37.70232343750001,-93.62252890625005,18,16,1753,7.301768397033657,2017-03-01
10mm,3,2018,2,43.118700000000004,-109.69624999999999,0,0,1296,0.15432098765432098,2018-03-01
12 gauge,3,2018,13,38.994800000000005,-96.88787272727272,1,7,1296,1.0030864197530864,2018-03-01
20 gauge,3,2018,5,37.15213333333333,-89.65676666666667,0,1,1296,0.38580246913580246,2018-03-01
22 LR,3,2018,66,38.66777142857143,-90.14567551020409,4,9,1296,5.092592592592593,2018-03-01
25 Auto,3,2018,10,40.579322222222224,-82.85052222222221,0,0,1296,0.7716049382716049,2018-03-01
30-06 Spr,3,2018,2,33.1851,-102.01355,0,0,1296,0.15432098765432098,2018-03-01
30-30 Win,3,2018,2,34.1075,-117.291,0,0,1296,0.15432098765432098,2018-03-01
300 Win,3,2018,2,34.805,-83.2714,0,0,1296,0.15432098765432098,2018-03-01
308 Win,3,2018,5,34.99733333333333,-86.97936666666668,0,0,1296,0.38580246913580246,2018-03-01
32 Auto,3,2018,6,38.412225,-88.844875,0,2,1296,0.46296296296296297,2018-03-01
357 Mag,3,2018,21,39.28670666666667,-96.89978666666667,2,2,1296,1.6203703703703705,2018-03-01
38 Spl,3,2018,30,38.33326,-75.85697599999999,1,4,1296,2.314814814814815,2018-03-01
380 Auto,3,2018,38,37.244758620689645,-79.6467172413793,1,7,1296,2.932098765432099,2018-03-01
40 SW,3,2018,52,39.392737499999996,-86.1896,2,9,1296,4.012345679012346,2018-03-01
410 gauge,3,2018,2,42.2209,-71.8896,0,0,1296,0.15432098765432098,2018-03-01
44 Mag,3,2018,4,33.6233,-77.01805,1,1,1296,0.30864197530864196,2018-03-01
45 Auto,3,2018,43,39.190868571428574,-85.13170000000001,6,10,1296,3.317901234567901,2018-03-01
9mm,3,2018,203,38.1567993939394,-87.04884909090913,16,21,1296,15.66358024691358,2018-03-01
Handgun,3,2018,527,38.572478553615994,-91.10601596009991,57,79,1296,40.66358024691358,2018-03-01
Other,3,2018,15,35.15139230769231,-95.79488461538462,0,0,1296,1.1574074074074074,2018-03-01
Rifle,3,2018,150,38.618002380952376,-104.86911825396824,7,5,1296,11.574074074074074,2018-03-01
Shotgun,3,2018,98,39.00435769230769,-97.03136538461537,13,10,1296,7.561728395061729,2018-03-01
10mm,4,2014,1,33.9524,-98.524,1,0,102,0.9803921568627451,2014-04-01
12 gauge,4,2014,2,32.8585,-99.08165,1,3,102,1.9607843137254901,2014-04-01
22 LR,4,2014,13,41.27006153846154,-93.50725384615384,4,3,102,12.745098039215685,2014-04-01
32 Auto,4,2014,1,42.5825,-87.8242,1,0,102,0.9803921568627451,2014-04-01
357 Mag,4,2014,2,38.52265,-98.46115,1,1,102,1.9607843137254901,2014-04-01
38 Spl,4,2014,1,,,0,0,102,0.9803921568627451,2014-04-01
380 Auto,4,2014,5,38.34672,-84.21522,0,0,102,4.901960784313726,2014-04-01
40 SW,4,2014,10,38.76996666666667,-98.7979,4,3,102,9.803921568627452,2014-04-01
44 Mag,4,2014,2,44.6927,-97.4792,1,0,102,1.9607843137254901,2014-04-01
45 Auto,4,2014,6,32.2205,-87.77563333333332,4,17,102,5.882352941176471,2014-04-01
9mm,4,2014,12,38.75814166666667,-86.36512499999999,4,6,102,11.764705882352942,2014-04-01
Handgun,4,2014,22,36.35478947368421,-87.38935263157894,2,6,102,21.568627450980394,2014-04-01
Other,4,2014,2,42.69725,-85.7624,0,0,102,1.9607843137254901,2014-04-01
Rifle,4,2014,10,36.31993,-84.08716999999999,0,3,102,9.803921568627452,2014-04-01
Shotgun,4,2014,13,41.25359999999999,-94.85149166666666,4,1,102,12.745098039215685,2014-04-01
10mm,4,2016,3,39.255599999999994,-96.49896666666666,1,2,1706,0.17584994138335286,2016-04-01
12 gauge,4,2016,32,39.46957096774194,-84.88072903225805,6,3,1706,1.8757327080890973,2016-04-01
20 gauge,4,2016,1,33.5855,-101.859,0,0,1706,0.05861664712778429,2016-04-01
22 LR,4,2016,76,39.88582533333334,-86.07529066666665,5,11,1706,4.4548651817116065,2016-04-01
25 Auto,4,2016,16,40.45575624999999,-82.34781249999999,2,2,1706,0.9378663540445487,2016-04-01
30-30 Win,4,2016,3,41.9599,-86.30520000000001,1,0,1706,0.17584994138335286,2016-04-01
308 Win,4,2016,5,36.4371,-84.08008,0,2,1706,0.29308323563892147,2016-04-01
32 Auto,4,2016,13,40.76237692307693,-80.41133846153845,1,2,1706,0.7620164126611958,2016-04-01
357 Mag,4,2016,24,42.561508333333336,-86.93579583333333,1,8,1706,1.4067995310668229,2016-04-01
38 Spl,4,2016,36,39.018374285714295,-83.94802857142857,2,4,1706,2.1101992966002343,2016-04-01
380 Auto,4,2016,45,37.879888888888885,-81.68589333333333,2,3,1706,2.637749120750293,2016-04-01
40 SW,4,2016,65,38.94186984126983,-86.30764920634921,10,22,1706,3.810082063305979,2016-04-01
410 gauge,4,2016,2,35.1052,-85.1309,0,0,1706,0.11723329425556858,2016-04-01
44 Mag,4,2016,3,46.18723333333333,-117.34906666666666,0,1,1706,0.17584994138335286,2016-04-01
45 Auto,4,2016,50,39.53183265306122,-85.95512857142856,7,11,1706,2.9308323563892147,2016-04-01
9mm,4,2016,144,39.0376457142857,-82.40436428571425,12,28,1706,8.440797186400937,2016-04-01
Handgun,4,2016,943,37.710399314285645,-88.77085942857126,83,124,1706,55.275498241500586,2016-04-01
Other,4,2016,22,35.74709545454546,-93.39375454545453,0,0,1706,1.2895662368112544,2016-04-01
Rifle,4,2016,128,40.4064392,-84.40035520000008,10,16,1706,7.502930832356389,2016-04-01
Shotgun,4,2016,95,38.82324842105263,-89.41721999999999,7,26,1706,5.5685814771395075,2016-04-01
10mm,4,2017,2,37.6447,-121.6915,0,0,1521,0.13149243918474687,2017-04-01
12 gauge,4,2017,32,38.1178875,-91.19289687499999,2,3,1521,2.10387902695595,2017-04-01
16 gauge,4,2017,2,38.5583,-81.51885,0,0,1521,0.13149243918474687,2017-04-01
20 gauge,4,2017,7,35.51545714285714,-85.96437142857143,0,0,1521,0.46022353714661407,2017-04-01
22 LR,4,2017,75,38.40029466666667,-85.98615866666664,5,10,1521,4.930966469428008,2017-04-01
25 Auto,4,2017,24,38.48506666666667,-83.8458625,4,1,1521,1.5779092702169626,2017-04-01
28 gauge,4,2017,1,29.648,-92.4589,0,0,1521,0.06574621959237344,2017-04-01
30-06 Spr,4,2017,2,39.55985,-106.22120000000001,0,1,1521,0.13149243918474687,2017-04-01
32 Auto,4,2017,15,38.16532,-86.89297333333333,3,2,1521,0.9861932938856016,2017-04-01
357 Mag,4,2017,17,39.327794117647066,-95.06447647058825,8,3,1521,1.1176857330703485,2017-04-01
38 Spl,4,2017,41,37.80329024390244,-82.10169024390242,2,5,1521,2.695595003287311,2017-04-01
380 Auto,4,2017,49,38.60344285714286,-83.58984081632653,1,3,1521,3.2215647600262987,2017-04-01
40 SW,4,2017,82,39.14458024691356,-85.88787901234572,6,13,1521,5.391190006574622,2017-04-01
410 gauge,4,2017,2,36.06245,-77.4567,0,0,1521,0.13149243918474687,2017-04-01
44 Mag,4,2017,6,42.91258333333334,-88.07656666666668,0,0,1521,0.39447731755424065,2017-04-01
45 Auto,4,2017,68,38.77280588235295,-86.77330294117648,7,16,1521,4.470742932281394,2017-04-01
9mm,4,2017,174,38.41912034883722,-83.28632267441851,13,20,1521,11.439842209072978,2017-04-01
Handgun,4,2017,661,36.768700303030286,-90.14105015151513,79,190,1521,43.458251150558844,2017-04-01
Other,4,2017,21,37.946619047619045,-86.84469999999999,0,1,1521,1.3806706114398422,2017-04-01
Rifle,4,2017,115,37.79912894736843,-94.46903771929824,15,17,1521,7.560815253122946,2017-04-01
Shotgun,4,2017,125,38.2122072580645,-93.92703467741939,20,22,1521,8.21827744904668,2017-04-01
10mm,5,2015,1,40.2615,-76.858,1,0,1641,0.06093845216331505,2015-05-01
12 gauge,5,2015,22,39.609561904761904,-82.01708095238097,1,2,1641,1.340645947592931,2015-05-01
16 gauge,5,2015,1,41.0814,-81.519,0,0,1641,0.06093845216331505,2015-05-01
20 gauge,5,2015,6,40.92485,-96.29485000000001,0,8,1641,0.3656307129798903,2015-05-01
22 LR,5,2015,98,40.010440625,-89.99566666666668,10,13,1641,5.971968312004875,2015-05-01
25 Auto,5,2015,23,38.08321304347827,-83.25145652173912,0,3,1641,1.4015843997562463,2015-05-01
30-06 Spr,5,2015,1,57.8269,-152.381,0,0,1641,0.06093845216331505,2015-05-01
30-30 Win,5,2015,2,33.4719,-81.0248,0,2,1641,0.1218769043266301,2015-05-01
300 Win,5,2015,2,48.821200000000005,-119.41274999999999,0,0,1641,0.1218769043266301,2015-05-01
308 Win,5,2015,1,30.4583,-91.1403,0,0,1641,0.06093845216331505,2015-05-01
32 Auto,5,2015,20,37.51082631578947,-79.1786052631579,1,2,1641,1.218769043266301,2015-05-01
357 Mag,5,2015,22,39.040845454545455,-91.48431363636364,2,5,1641,1.340645947592931,2015-05-01
38 Spl,5,2015,77,37.48908051948052,-90.49087532467533,6,7,1641,4.692260816575259,2015-05-01
380 Auto,5,2015,122,36.75805714285714,-90.44835798319328,6,6,1641,7.434491163924436,2015-05-01
40 SW,5,2015,85,37.71519390243902,-88.81149268292678,8,16,1641,5.1797684338817795,2015-05-01
410 gauge,5,2015,2,41.447199999999995,-93.521,0,1,1641,0.1218769043266301,2015-05-01
44 Mag,5,2015,8,43.6041375,-88.61110000000001,2,2,1641,0.4875076173065204,2015-05-01
45 Auto,5,2015,69,40.20295671641792,-94.1496462686567,10,8,1641,4.204753199268739,2015-05-01
9mm,5,2015,170,38.52964285714288,-89.87974523809524,21,26,1641,10.359536867763559,2015-05-01
Handgun,5,2015,665,38.98291759729273,-90.88230186125205,82,141,1641,40.52407068860451,2015-05-01
Other,5,2015,21,38.217438095238094,-99.37194285714287,3,4,1641,1.2797074954296161,2015-05-01
Rifle,5,2015,119,40.080558974358944,-88.78707094017102,6,24,1641,7.251675807434491,2015-05-01
Shotgun,5,2015,104,39.968673786407756,-88.48858058252428,17,25,1641,6.337599024984765,2015-05-01
10mm,5,2016,2,44.238,-98.83680000000001,1,0,1532,0.13054830287206268,2016-05-01
